address,total_permits,issued_permits
0001,1,1
0010,16,11
0011,66,46
0012,31,12
0013,21,12
0014,8,1
0015,1,0
0018,13,9
0020,6,2
0022,4,3
0023,8,7
0024,29,17
0025,31,12
0026,16,7
0026T,1,0
0027,15,10
0028,12,5
0029,19,8
0030,17,7
0031,11,6
0032,2,2
0034,5,0
0037,1,0
0039,14,7
0040,14,7
0041,40,28
0042,12,10
0043,8,8
0044,16,11
0045,20,12
0047,20,16
0047C,4,2
0048,16,11
0049,4,1
0050,8,6
0051,19,10
0052,11,7
0054,37,32
0055,4,1
0056,4,1
0057,1,0
0059,14,10
0060,12,5
0061,22,13
0062,23,16
0063,13,10
0064,10,5
0065,27,12
0066,20,14
0067,15,11
0068,24,15
0069,12,10
0071,41,26
0071C,1,0
0072,14,9
0073,8,4
0074,34,18
0075,2,2
0076,19,12
0077,25,22
0078,23,16
0079,10,6
0080,2,2
0081,8,5
0084,6,4
0085,19,9
0086,8,4
0087,21,7
0088,32,15
0089,14,7
0090,39,15
0091,34,25
0092,19,13
0093,15,6
0094,19,17
0095,27,17
0095C,1,1
0096,35,16
0097,14,5
00979,4,2
0097C,1,1
0098,20,13
0098C,5,3
0099,14,12
0100,14,12
0101,29,19
0103,34,19
0104,18,13
0105,18,10
0106,19,11
0107,15,10
0108,9,9
0111,9,2
0112,21,7
0113,8,3
0114,26,12
0115,32,16
0116,34,10
0117,35,14
0118,10,4
0119,32,24
0120,24,14
0121,16,12
0121A,4,0
0122,26,19
0123,18,15
0124,22,20
0125,44,27
0126,19,12
0127,26,16
0128,20,11
0128C,2,0
0129,23,18
0130,24,11
0131,9,4
0132,21,6
0133,17,5
0134,16,11
0135,4,3
0136,14,4
0137,3,0
0140,5,0
0141,6,4
0142,16,8
0143,29,12
0144,20,10
0145,58,32
0146,22,10
0147,32,15
0148,20,13
0149,11,5
0150,13,6
0151,32,19
0152,10,3
0153,7,3
0154,16,10
0155,23,17
0156,22,8
0157,37,21
0158,16,6
0159,14,6
0160,12,4
0161,58,27
0162,25,18
0163,25,19
0164,27,17
0165,7,3
0166,16,8
0167,9,5
0168,21,18
0171,12,7
0173,23,16
0174,27,15
0175,40,11
0176,70,27
0177,52,34
0178,17,10
0179,39,26
0180,23,16
0181,27,19
0182,19,12
0183,38,28
0184,15,8
0185,30,22
0186,26,22
0187,22,14
0188,21,18
0189,16,15
0190,14,9
0191,10,3
0192,15,7
0193,21,13
0194,34,16
0195,28,16
0196,49,31
