address,total_violations
0023,1
0024,9
0025,5
0026,22
0027,9
0028,3
0032,6
0033,2
0039,11
0040,7
0041,20
0042,1
0043,2
0044,4
0045,3
0047,10
0048,12
0049,2
0050,6
0051,12
0052,13
0053,4
0054,25
0055,1
0059,3
0060,2
0061,9
0062,16
0063,33
0064,22
0065,36
0066,20
0067,2
0068,2
0069,1
0071,23
0072,21
0073,17
0074,24
0076,24
0077,25
0078,7
0079,2
0080,1
0085,13
0086,4
0087,14
0088,29
0089,16
0090,88
0091,26
0092,25
0093,30
0094,29
0094C,1
0095,10
0096,45
0097,22
00979,1
0097C,1
0098,10
0099,14
0100,22
0101,54
0103,58
0104,53
0105,20
0106,16
0113,14
0114,28
0115,48
0116,68
0117,62
0118,63
0119,36
0120,9
0121,12
0122,35
0123,25
0124,32
0125,31
0126,11
0127,26
0128,11
0128C,1
0129,97
0130,104
0131,33
0132,25
0133,32
0134,40
0143,15
0144,75
0145,103
0146,102
0147,114
0148,70
0149,33
0150,7
0151,24
0152,21
0153,30
0154,43
0155,48
0156,39
0157,49
0158,42
0159,59
0160,39
0161,54
0162,74
0163,46
0164,33
0165,4
0166,1
0167,1
0168,1
0171,1
0174,1
0176,6
0177,43
0178,43
0179,78
0180,94
0181,40
0182,43
0183,48
0184,59
0185,50
0186,53
0187,41
0188,54
0189,35
0190,25
0191,61
0192,57
0193,118
0194,81
0195,10
0198,5
0199,5
0200,2
0206,2
0208,35
0209,50
0210,77
0210A,9
0211,25
0212,128
0213,53
0214,32
0215,53
0216,80
0217,40
0218,80
0219,64
0220,79
0221,67
0222,29
0223,36
0224,56
0225,67
0226,59
0227,68
0241,9
0242,53
0243,39
0247,82
0248,68
0249,147
0250,63
0251,49
0252,64
0252C,1
0253,22
0253A,4
0253T,1
0254,27
0256,70
0257,24
0258,7
0269,14
0270,4
0271,23
0272,141
0273,47
0274,67
0275,29
0275A,3
0276,101
0277,39
0278,43
0279,81
0280,80
0281,70
0282,43
0283,30
0284,30
0285,26
0286,10
0287,5
0288,45
0294,1
0295,1
0296,12
0297,1
0298,75
0299,56
0300,46
0301,138
0302,77
0303,116
0304,46
0305,71
0306,24
0310,10
0311,1
0314,26
0315,22
0317,73
0318,133
0319,133
0320,118
0321,189
0322,124
0322A,5
0323,128
0324,298
0326,19
0327,2
0330,20
0331,86
0332,120
0333,118
0334,134
0335,95
0336,82
0337,209
0338,127
0339,127
0340,303
0341,34
0343,85
0344,37
0345,141
0346,69
0347,96
0348,14
0349,46
0350,5
0351,1
0355,26
0417B,18
0418A,15
0419A,6
0436B,2
0436C,3
0436D,11
0436E,10
0436F,8
0438A,23
0439A,8
0440A,7
0440B,16
0441A,1
0441B,4
0442A,7
0443A,32
0445A,4
0453,17
0459,4
0460A,9
0462A,6
0463A,21
0464A,9
0465A,5
0466A,16
0467A,28
0471,7
0472,21
0473,19
0474,18
0476,6
0477,3
0478,15
0479,15
0480,18
0481,8
0482,19
0486A,15
0488A,6
0489,4
0490,9
0492,10
0493,17
0494,15
0495,6
0496,18
0497,13
0498,34
0499,30
0500,14
0501,12
0502,9
0503,7
0504,4
0505,16
0506,4
0507,14
0508,2
0510,8
0511,2
0512,7
0513,2
0514,15
0515,15
0516,9
0517,12
0518,8
0519,9
0520,20
0521,24
0522,24
0523,25
0524,22
0525,43
0526,27
0527,27
0528,15
0529,12
0530,9
0531,4
0532,4
0533,9
0534,9
0535,21
0536,4
0537,13
0538,13
0539,20
0540,12
0541,20
0542,9
0543,10
0544,6
0545,9
0546,8
0547,36
0548,35
0549,29
0550,15
0551,31
0552,22
0553,5
0554,13
0555,26
0556,11
0557,13
0558,15
0559,23
0562,5
0564,1
0564C,1
0565,4
0566,17
0567,6
0568,6
0569,22
0570,17
0571,7
0572,13
0573,68
0574,20
0575,18
0576,19
0577,23
0578,17
0579,17
0580,17
0581,23
0582,7
0586,2
0587,2
0588,5
0589,14
0590,8
0591,2
0592,10
0593,19
0594,8
0595,2
0596,41
0597,44
0598,19
0599,13
0600,18
0601,1
0602,3
0603,7
0604,13
0605,18
0606,27
0611,12
0612,8
0613,4
0614,10
0617,10
0618,18
0619,17
0620,36
0621,45
0622,17
0623,27
0624,34
0627,7
0629,1
0630,9
0631,8
0632,17
0633,17
0634,10
0635,5
0636,11
0637,16
0638,11
0639,13
0640,34
0641,5
0642,6
0643,10
0644,61
0645,33
0646,15
0648,14
0649,9
0650,33
0651,12
0652,18
0653,18
0654,5
0655,9
0656,13
0657,16
0659,11
0660,11
0661,25
0662,22
0663,15
0664,11
0665,27
0666,10
0667,8
0668,59
0669,31
0670,25
0671,2
0672,22
0673,22
0674,17
0675,3
0676,8
0677,5
0678,7
0679,31
0680,1
0681,12
0683,9
0684,6
0685,12
0686,3
0687,3
0688,6
0689,3
0692,144
0693,92
0694,18
0696,1
0697,2
0702,2
0707,1
0709,3
0710C,1
0713,2
0714,2
0715,16
0716,79
0717,130
0718,17
0719,10
0720,3
0724,2
0725,2
0726,16
0728,3
0729,6
0730,11
0731,6
0732,5
0734,16
0735,45
0737,12
0738,7
0739,46
0740,85
0741,43
0742,13
0743,8
0744,20
0747,15
0748,5
0749,65
0750,2
0751,27
0752,2
0753,18
0754,21
0755,3
0756,6
0757,5
0758,19
0761,21
0762,2
0767,1
0769,1
0770,9
0771,35
0773,14
0774,20
0775,40
0776,32
0777,28
0778,29
0779,22
0780,8
0781,1
0782,9
0783,23
0792,32
0793,19
0794,30
0795,2
0796,8
0797,37
0798,51
0803,26
0804,33
0805,28
0806,21
0807,31
0808,26
0809,30
0811,40
0813,5
0814,7
0816,9
0817,13
0818,36
0819,41
0820,19
0821,38
0822,71
0823,5
0824,75
0825,29
0826,32
0827,60
0828,22
0829,31
0830,42
0831,6
0832,12
0833,10
0834,31
0835,5
0836,9
0837,17
0838,42
0839,37
0840,16
0841,51
0842,69
0843,16
0844,86
0845,26
0846,33
0847,53
0848,25
0849,64
0850,15
0851,32
0852,30
0853,15
0854,10
0855,4
0856,51
0857,1
0858,37
0859,29
0860,62
0861,29
0862,40
0863,2
0864,6
0865,13
0866,20
0867,28
0868,32
0869,18
0871,34
0872,36
0874,28
0875,30
0910,3
0911,14
0912,11
0913,4
0914,20
0915,6
0918,5
0919,9
0920,1
0921,7
0922,6
0923,2
0926,8
0927,8
0928,16
0929,7
0930,15
0931,8
0933,6
0934,8
0935,76
0936,4
0937,4
0938,8
0939,19
0940,14
0941,14
0942,4
0943,11
0944,3
0945,1
0946,5
0947,8
0948,4
0949,3
0950,4
0952,3
0955,12
0956,1
0973,2
0975,14
0976,8
0977,9
0978,4
0979,23
0980,15
0981,11
0982,5
0983,9
0984,7
0986,3
0987,8
0989,2
0990,1
0991,2
0995,2
0996,4
0997,5
0998,8
0999,9
1000,7
1001,17
1002,3
1003,6
1004,10
1005,17
1006,18
1007,14
1008,16
1009,14
1010,8
1011,19
1012,10
1013,20
1014,7
1015,32
1017,15
1018,8
1019,9
1020,13
1021,4
1022,9
1023,9
1024,18
1025,16
1026,10
1027,3
1028,28
1029,20
1030,26
1031,15
1034,1
1036,12
1037,7
1038,4
1039,8
1040,18
1041,4
1042,17
1043,8
1044,3
1045,3
1046,23
1047,5
1048,8
1049,16
1050,8
1051,3
1052,7
1053,13
1054,20
1055,28
1057,13
1058,12
1061,26
1062,24
1063,5
1064,4
1065,10
1066,15
1067,2
1069,14
1073,32
1074,19
1075,3
1076,7
1079,5
1080,19
1081,21
1082,18
1085,14
1086,13
1087,15
1088,10
1089,20
1090,28
1091,15
1092,15
1098,1
1099,8
1100,24
1101,20
1102,8
1103,21
1104,15
1108,2
1109,3
1112,15
1113,8
1114,4
1115,3
1117,12
1125,4
1126,20
1127,10
1128,1
1129,19
1130,6
1132,2
1133,1
1134,4
1137,2
1138,6
1139,4
1141,9
1142,28
1143,15
1144,4
1145A,13
1146,1
1147,2
1148,1
1149,22
1150,18
1151,32
1152,18
1153,32
1154,50
1155,30
1156,32
1157,46
1158,32
1159,19
1160,23
1163,3
1166,19
1167,14
1168,41
1169,30
1170,7
1173,9
1174,17
1175,4
1176,30
1177,32
1178,18
1179,13
1180,33
1181,33
1182,10
1183,35
1184,38
1185,38
1186,33
1187,12
1188,19
1189,22
1190,10
1191,10
1193,13
1194,23
1195,19
1197,4
1198,26
1199,34
1200,25
1201,28
1202,20
1203,26
1204,66
1205,34
1206,2
1207,31
1208,24
1209,19
1210,45
1211,28
1212,17
1213,32
1214,9
1215,1
1216,7
1217,24
1218,27
1219,43
1220,23
1221,47
1222,42
1223,16
1224,26
1225,40
1226,64
1227,41
1228,19
1229,22
1230,32
1231,37
1232,35
1233,34
1234,50
1235,21
1236,34
1237,35
1238,20
1239,32
1240,26
1241,23
1242,8
1243,19
1244,17
1245,35
1246,27
1247,23
1248,25
1249,12
1250,26
1251,22
1252,27
1253,38
1254,47
1255,26
1256,24
1258,9
1259,12
1260,27
1261,17
1262,22
1263,1
1265,16
1265A,3
1266,45
1267,66
1268,30
1269,80
1270,35
1271,19
1272,28
1273,7
1274,17
1275,36
1276,13
1277,17
1278,16
1279,17
1280,6
1281,3
1282,12
1284,3
1285,7
1286,2
1287,8
1288,12
1289,13
1290,5
1291,1
1292,8
1293,1
1294,5
1300,1
1305,5
1307,1
1331,2
1332,11
1333,9
1337,2
1340,3
1341,1
1342,1
1344,1
1346,6
1347,1
1348,2
1349,10
1350,4
1351,16
1352,12
1353,14
1355,2
1361,18
1362,25
1363,11
1364,17
1365,22
1366,29
1367,21
1368,2
1369,8
1370,10
1371,25
1372,17
1374,11
1375,6
1376,7
1377,13
1378,21
1379,24
1380,23
1381,9
1382,12
1383,20
1384,9
1385,43
1386,33
1387,29
1389,1
1392,3
1401,10
1402,15
1403,22
1404,18
1405,16
1406,16
1407,15
1408,22
1409,47
1410,6
1411,14
1412,21
1413,35
1414,21
1415,16
1416,45
1417,12
1418,18
1419,13
1421,16
1422,45
1423,21
1424,26
1425,15
1426,43
1427,29
1428,14
1429,15
1430,38
1431,28
1432,15
1433,37
1434,27
1435,23
1436,32
1437,32
1438,6
1439,38
1440,4
1441,19
1442,26
1443,36
